wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_styleloss_ablation/wandb/run-20220503_063123-gpwywo1f
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_style_loss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/gpwywo1f
2022-05-03 06:41:42 | INFO | train_tsf_model.py | [Iteration 1900] Model Checkpoint Saved with Loss : 4.958, Acc : 56.0, BLEU : 17.032
2022-05-03 06:42:09 | INFO | train_tsf_model.py | [Iteration 2000] SelfLoss : 2.285 CycleLoss : 2.927 StyleLoss : 0 ContentLoss : 0.089
2022-05-03 06:42:13 | INFO | train_tsf_model.py | [Iteration 2000] Model Checkpoint Saved with Loss : 4.844, Acc : 55.9, BLEU : 18.106
2022-05-03 06:42:41 | INFO | train_tsf_model.py | [Iteration 2100] SelfLoss : 2.003 CycleLoss : 2.572 StyleLoss : 0 ContentLoss : 0.089
2022-05-03 06:42:45 | INFO | train_tsf_model.py | [Iteration 2100] Model Checkpoint Saved with Loss : 4.805, Acc : 53.3, BLEU : 19.079
2022-05-03 06:43:13 | INFO | train_tsf_model.py | [Iteration 2200] SelfLoss : 1.998 CycleLoss : 2.563 StyleLoss : 0 ContentLoss : 0.089
2022-05-03 06:43:17 | INFO | train_tsf_model.py | [Iteration 2200] Model Checkpoint Saved with Loss : 4.576, Acc : 52.0, BLEU : 20.223
2022-05-03 06:43:44 | INFO | train_tsf_model.py | [Iteration 2300] SelfLoss : 1.949 CycleLoss : 2.514 StyleLoss : 0 ContentLoss : 0.088
2022-05-03 06:43:48 | INFO | train_tsf_model.py | [Iteration 2300] Model Checkpoint Saved with Loss : 4.459, Acc : 53.1, BLEU : 21.442
2022-05-03 06:44:14 | INFO | train_tsf_model.py | [Iteration 2400] SelfLoss : 2.127 CycleLoss : 2.762 StyleLoss : 0 ContentLoss : 0.092
2022-05-03 06:44:18 | INFO | train_tsf_model.py | [Iteration 2400] Model Checkpoint Saved with Loss : 4.35, Acc : 51.5, BLEU : 22.681
2022-05-03 06:44:44 | INFO | train_tsf_model.py | [Iteration 2500] SelfLoss : 1.976 CycleLoss : 2.608 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 06:44:48 | INFO | train_tsf_model.py | [Iteration 2500] Model Checkpoint Saved with Loss : 4.252, Acc : 52.3, BLEU : 23.475
2022-05-03 06:45:16 | INFO | train_tsf_model.py | [Iteration 2600] SelfLoss : 1.878 CycleLoss : 2.477 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 06:45:19 | INFO | train_tsf_model.py | [Iteration 2600] Model Checkpoint Saved with Loss : 4.134, Acc : 51.3, BLEU : 25.03
2022-05-03 06:45:47 | INFO | train_tsf_model.py | [Iteration 2700] SelfLoss : 1.847 CycleLoss : 2.475 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 06:45:51 | INFO | train_tsf_model.py | [Iteration 2700] Model Checkpoint Saved with Loss : 4.08, Acc : 48.8, BLEU : 26.133
2022-05-03 06:46:19 | INFO | train_tsf_model.py | [Iteration 2800] SelfLoss : 1.697 CycleLoss : 2.331 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 06:46:22 | INFO | train_tsf_model.py | [Iteration 2800] Model Checkpoint Saved with Loss : 3.998, Acc : 49.6, BLEU : 26.444
2022-05-03 06:46:50 | INFO | train_tsf_model.py | [Iteration 2900] SelfLoss : 1.814 CycleLoss : 2.414 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 06:46:54 | INFO | train_tsf_model.py | [Iteration 2900] Model Checkpoint Saved with Loss : 3.869, Acc : 49.3, BLEU : 28.1
2022-05-03 06:47:22 | INFO | train_tsf_model.py | [Iteration 3000] SelfLoss : 1.648 CycleLoss : 2.24 StyleLoss : 0 ContentLoss : 0.093
2022-05-03 06:47:26 | INFO | train_tsf_model.py | [Iteration 3000] Model Checkpoint Saved with Loss : 3.78, Acc : 46.5, BLEU : 29.178
2022-05-03 06:47:53 | INFO | train_tsf_model.py | [Iteration 3100] SelfLoss : 1.581 CycleLoss : 2.191 StyleLoss : 0 ContentLoss : 0.09
2022-05-03 06:47:57 | INFO | train_tsf_model.py | [Iteration 3100] Model Checkpoint Saved with Loss : 3.699, Acc : 45.6, BLEU : 30.967
2022-05-03 06:48:25 | INFO | train_tsf_model.py | [Iteration 3200] SelfLoss : 1.556 CycleLoss : 2.164 StyleLoss : 0 ContentLoss : 0.092
2022-05-03 06:48:28 | INFO | train_tsf_model.py | [Iteration 3200] Model Checkpoint Saved with Loss : 3.613, Acc : 46.9, BLEU : 30.845
2022-05-03 06:48:55 | INFO | train_tsf_model.py | [Iteration 3300] SelfLoss : 1.564 CycleLoss : 2.227 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:48:59 | INFO | train_tsf_model.py | [Iteration 3300] Model Checkpoint Saved with Loss : 3.534, Acc : 45.7, BLEU : 32.349
2022-05-03 06:49:26 | INFO | train_tsf_model.py | [Iteration 3400] SelfLoss : 1.615 CycleLoss : 2.231 StyleLoss : 0 ContentLoss : 0.094
2022-05-03 06:49:30 | INFO | train_tsf_model.py | [Iteration 3400] Model Checkpoint Saved with Loss : 3.453, Acc : 46.7, BLEU : 33.088
2022-05-03 06:49:58 | INFO | train_tsf_model.py | [Iteration 3500] SelfLoss : 1.496 CycleLoss : 2.103 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 06:50:01 | INFO | train_tsf_model.py | [Iteration 3500] Model Checkpoint Saved with Loss : 3.377, Acc : 44.7, BLEU : 34.603
2022-05-03 06:50:29 | INFO | train_tsf_model.py | [Iteration 3600] SelfLoss : 1.397 CycleLoss : 2.016 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:50:33 | INFO | train_tsf_model.py | [Iteration 3600] Model Checkpoint Saved with Loss : 3.31, Acc : 42.7, BLEU : 36.054
2022-05-03 06:51:00 | INFO | train_tsf_model.py | [Iteration 3700] SelfLoss : 1.365 CycleLoss : 1.96 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:51:04 | INFO | train_tsf_model.py | [Iteration 3700] Model Checkpoint Saved with Loss : 3.238, Acc : 41.8, BLEU : 37.348
2022-05-03 06:51:32 | INFO | train_tsf_model.py | [Iteration 3800] SelfLoss : 1.519 CycleLoss : 2.19 StyleLoss : 0 ContentLoss : 0.099
2022-05-03 06:51:35 | INFO | train_tsf_model.py | [Iteration 3800] Model Checkpoint Saved with Loss : 3.386, Acc : 41.9, BLEU : 37.245
2022-05-03 06:52:02 | INFO | train_tsf_model.py | [Iteration 3900] SelfLoss : 1.387 CycleLoss : 2.029 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 06:52:06 | INFO | train_tsf_model.py | [Iteration 3900] Model Checkpoint Saved with Loss : 3.108, Acc : 41.2, BLEU : 38.608
2022-05-03 06:52:33 | INFO | train_tsf_model.py | [Iteration 4000] SelfLoss : 1.365 CycleLoss : 1.993 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:52:37 | INFO | train_tsf_model.py | [Iteration 4000] Model Checkpoint Saved with Loss : 3.066, Acc : 39.4, BLEU : 40.298
2022-05-03 06:53:05 | INFO | train_tsf_model.py | [Iteration 4100] SelfLoss : 1.343 CycleLoss : 1.948 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 06:53:09 | INFO | train_tsf_model.py | [Iteration 4100] Model Checkpoint Saved with Loss : 2.998, Acc : 38.6, BLEU : 41.461
2022-05-03 06:53:36 | INFO | train_tsf_model.py | [Iteration 4200] SelfLoss : 1.27 CycleLoss : 1.886 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 06:53:40 | INFO | train_tsf_model.py | [Iteration 4200] Model Checkpoint Saved with Loss : 2.923, Acc : 36.6, BLEU : 42.599
2022-05-03 06:54:06 | INFO | train_tsf_model.py | [Iteration 4300] SelfLoss : 1.304 CycleLoss : 1.89 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 06:54:10 | INFO | train_tsf_model.py | [Iteration 4300] Model Checkpoint Saved with Loss : 2.892, Acc : 39.8, BLEU : 42.676
2022-05-03 06:54:37 | INFO | train_tsf_model.py | [Iteration 4400] SelfLoss : 1.37 CycleLoss : 2.182 StyleLoss : 0 ContentLoss : 0.105
2022-05-03 06:54:39 | INFO | train_tsf_model.py | [Iteration 4400] Model Checkpoint Saved with Loss : 3.003, Acc : 37.2, BLEU : 43.824
2022-05-03 06:55:06 | INFO | train_tsf_model.py | [Iteration 4500] SelfLoss : 1.234 CycleLoss : 1.807 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:55:09 | INFO | train_tsf_model.py | [Iteration 4500] Model Checkpoint Saved with Loss : 2.757, Acc : 38.0, BLEU : 45.392
2022-05-03 06:55:35 | INFO | train_tsf_model.py | [Iteration 4600] SelfLoss : 1.135 CycleLoss : 1.722 StyleLoss : 0 ContentLoss : 0.099
2022-05-03 06:55:39 | INFO | train_tsf_model.py | [Iteration 4600] Model Checkpoint Saved with Loss : 2.701, Acc : 37.2, BLEU : 46.18
2022-05-03 06:56:07 | INFO | train_tsf_model.py | [Iteration 4700] SelfLoss : 1.202 CycleLoss : 1.81 StyleLoss : 0 ContentLoss : 0.099
2022-05-03 06:56:10 | INFO | train_tsf_model.py | [Iteration 4700] Model Checkpoint Saved with Loss : 2.657, Acc : 37.2, BLEU : 47.236
2022-05-03 06:56:38 | INFO | train_tsf_model.py | [Iteration 4800] SelfLoss : 1.151 CycleLoss : 1.748 StyleLoss : 0 ContentLoss : 0.095
2022-05-03 06:56:41 | INFO | train_tsf_model.py | [Iteration 4800] Model Checkpoint Saved with Loss : 2.605, Acc : 37.1, BLEU : 48.153
2022-05-03 06:57:09 | INFO | train_tsf_model.py | [Iteration 4900] SelfLoss : 1.161 CycleLoss : 1.81 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 06:57:13 | INFO | train_tsf_model.py | [Iteration 4900] Model Checkpoint Saved with Loss : 2.533, Acc : 36.3, BLEU : 49.056
2022-05-03 06:57:41 | INFO | train_tsf_model.py | [Iteration 5000] SelfLoss : 1.109 CycleLoss : 1.721 StyleLoss : 0 ContentLoss : 0.096
2022-05-03 06:57:44 | INFO | train_tsf_model.py | [Iteration 5000] Model Checkpoint Saved with Loss : 2.493, Acc : 36.0, BLEU : 50.35
2022-05-03 06:58:12 | INFO | train_tsf_model.py | [Iteration 5100] SelfLoss : 1.099 CycleLoss : 1.755 StyleLoss : 0 ContentLoss : 0.099
2022-05-03 06:58:15 | INFO | train_tsf_model.py | [Iteration 5100] Model Checkpoint Saved with Loss : 2.523, Acc : 34.9, BLEU : 49.696
2022-05-03 06:58:44 | INFO | train_tsf_model.py | [Iteration 5200] SelfLoss : 0.967 CycleLoss : 1.52 StyleLoss : 0 ContentLoss : 0.096
2022-05-03 06:58:48 | INFO | train_tsf_model.py | [Iteration 5200] Model Checkpoint Saved with Loss : 2.411, Acc : 33.2, BLEU : 52.276
2022-05-03 06:59:16 | INFO | train_tsf_model.py | [Iteration 5300] SelfLoss : 1.105 CycleLoss : 1.695 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 06:59:20 | INFO | train_tsf_model.py | [Iteration 5300] Model Checkpoint Saved with Loss : 2.381, Acc : 35.2, BLEU : 52.322
2022-05-03 06:59:47 | INFO | train_tsf_model.py | [Iteration 5400] SelfLoss : 1.016 CycleLoss : 1.612 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 06:59:51 | INFO | train_tsf_model.py | [Iteration 5400] Model Checkpoint Saved with Loss : 2.35, Acc : 32.6, BLEU : 53.464
2022-05-03 07:00:18 | INFO | train_tsf_model.py | [Iteration 5500] SelfLoss : 1.005 CycleLoss : 1.581 StyleLoss : 0 ContentLoss : 0.098
2022-05-03 07:00:21 | INFO | train_tsf_model.py | [Iteration 5500] Model Checkpoint Saved with Loss : 2.294, Acc : 32.1, BLEU : 54.185
2022-05-03 07:00:49 | INFO | train_tsf_model.py | [Iteration 5600] SelfLoss : 0.997 CycleLoss : 1.533 StyleLoss : 0 ContentLoss : 0.097
2022-05-03 07:00:52 | INFO | train_tsf_model.py | [Iteration 5600] Model Checkpoint Saved with Loss : 2.257, Acc : 31.3, BLEU : 55.098
2022-05-03 07:01:20 | INFO | train_tsf_model.py | [Iteration 5700] SelfLoss : 0.94 CycleLoss : 1.544 StyleLoss : 0 ContentLoss : 0.096
