wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_cycleloss/wandb/run-20220503_084219-2iq44l8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_cycle_loss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/2iq44l8k
2022-05-03 08:54:20 | INFO | train_tsf_model.py | [Iteration 1900] Model Checkpoint Saved with Loss : 1.41, Acc : 98.1, BLEU : 22.314
2022-05-03 08:54:53 | INFO | train_tsf_model.py | [Iteration 2000] SelfLoss : 1.49 CycleLoss : 0 StyleLoss : 0.01 ContentLoss : 0.161
2022-05-03 08:54:57 | INFO | train_tsf_model.py | [Iteration 2000] Model Checkpoint Saved with Loss : 1.352, Acc : 98.1, BLEU : 22.507
2022-05-03 08:55:30 | INFO | train_tsf_model.py | [Iteration 2100] SelfLoss : 1.279 CycleLoss : 0 StyleLoss : 0.022 ContentLoss : 0.158
2022-05-03 08:55:34 | INFO | train_tsf_model.py | [Iteration 2100] Model Checkpoint Saved with Loss : 1.29, Acc : 98.5, BLEU : 23.702
2022-05-03 08:56:07 | INFO | train_tsf_model.py | [Iteration 2200] SelfLoss : 1.291 CycleLoss : 0 StyleLoss : 0.023 ContentLoss : 0.157
2022-05-03 08:56:11 | INFO | train_tsf_model.py | [Iteration 2200] Model Checkpoint Saved with Loss : 1.238, Acc : 98.1, BLEU : 24.797
2022-05-03 08:56:44 | INFO | train_tsf_model.py | [Iteration 2300] SelfLoss : 1.272 CycleLoss : 0 StyleLoss : 0.022 ContentLoss : 0.154
2022-05-03 08:56:47 | INFO | train_tsf_model.py | [Iteration 2300] Model Checkpoint Saved with Loss : 1.188, Acc : 98.7, BLEU : 25.365
wandb: Network error (ReadTimeout), entering retry loop.
2022-05-03 08:57:20 | INFO | train_tsf_model.py | [Iteration 2400] SelfLoss : 1.399 CycleLoss : 0 StyleLoss : 0.015 ContentLoss : 0.159
2022-05-03 08:57:24 | INFO | train_tsf_model.py | [Iteration 2400] Model Checkpoint Saved with Loss : 1.141, Acc : 98.7, BLEU : 26.013
2022-05-03 08:57:57 | INFO | train_tsf_model.py | [Iteration 2500] SelfLoss : 1.301 CycleLoss : 0 StyleLoss : 0.025 ContentLoss : 0.161
2022-05-03 08:58:01 | INFO | train_tsf_model.py | [Iteration 2500] Model Checkpoint Saved with Loss : 1.086, Acc : 98.6, BLEU : 27.133
2022-05-03 08:58:35 | INFO | train_tsf_model.py | [Iteration 2600] SelfLoss : 1.206 CycleLoss : 0 StyleLoss : 0.037 ContentLoss : 0.159
2022-05-03 08:58:38 | INFO | train_tsf_model.py | [Iteration 2600] Model Checkpoint Saved with Loss : 1.094, Acc : 98.4, BLEU : 27.613
2022-05-03 08:59:12 | INFO | train_tsf_model.py | [Iteration 2700] SelfLoss : 1.155 CycleLoss : 0 StyleLoss : 0.014 ContentLoss : 0.158
2022-05-03 08:59:16 | INFO | train_tsf_model.py | [Iteration 2700] Model Checkpoint Saved with Loss : 1.012, Acc : 98.3, BLEU : 29.081
2022-05-03 08:59:49 | INFO | train_tsf_model.py | [Iteration 2800] SelfLoss : 1.045 CycleLoss : 0 StyleLoss : 0.026 ContentLoss : 0.158
2022-05-03 08:59:53 | INFO | train_tsf_model.py | [Iteration 2800] Model Checkpoint Saved with Loss : 0.976, Acc : 98.7, BLEU : 29.12
2022-05-03 09:00:26 | INFO | train_tsf_model.py | [Iteration 2900] SelfLoss : 1.144 CycleLoss : 0 StyleLoss : 0.015 ContentLoss : 0.159
2022-05-03 09:00:30 | INFO | train_tsf_model.py | [Iteration 2900] Model Checkpoint Saved with Loss : 0.945, Acc : 98.7, BLEU : 30.468
2022-05-03 09:01:04 | INFO | train_tsf_model.py | [Iteration 3000] SelfLoss : 0.976 CycleLoss : 0 StyleLoss : 0.029 ContentLoss : 0.154
2022-05-03 09:01:08 | INFO | train_tsf_model.py | [Iteration 3000] Model Checkpoint Saved with Loss : 0.908, Acc : 98.3, BLEU : 32.526
2022-05-03 09:01:41 | INFO | train_tsf_model.py | [Iteration 3100] SelfLoss : 0.933 CycleLoss : 0 StyleLoss : 0.01 ContentLoss : 0.152
