wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_contentloss_ablation/wandb/run-20220503_072622-1vez7xel
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_contentLoss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/1vez7xel
2022-05-03 07:37:23 | INFO | train_tsf_model.py | [Iteration 1900] Model Checkpoint Saved with Loss : 3.95, Acc : 92.5, BLEU : 19.535
2022-05-03 07:37:53 | INFO | train_tsf_model.py | [Iteration 2000] SelfLoss : 1.756 CycleLoss : 2.415 StyleLoss : 0.043 ContentLoss : 0
2022-05-03 07:37:57 | INFO | train_tsf_model.py | [Iteration 2000] Model Checkpoint Saved with Loss : 3.904, Acc : 92.9, BLEU : 20.549
2022-05-03 07:38:27 | INFO | train_tsf_model.py | [Iteration 2100] SelfLoss : 1.525 CycleLoss : 2.264 StyleLoss : 0.058 ContentLoss : 0
2022-05-03 07:38:30 | INFO | train_tsf_model.py | [Iteration 2100] Model Checkpoint Saved with Loss : 3.74, Acc : 92.4, BLEU : 21.633
2022-05-03 07:39:01 | INFO | train_tsf_model.py | [Iteration 2200] SelfLoss : 1.531 CycleLoss : 2.158 StyleLoss : 0.07 ContentLoss : 0
2022-05-03 07:39:04 | INFO | train_tsf_model.py | [Iteration 2200] Model Checkpoint Saved with Loss : 3.599, Acc : 93.6, BLEU : 22.302
2022-05-03 07:39:35 | INFO | train_tsf_model.py | [Iteration 2300] SelfLoss : 1.505 CycleLoss : 2.108 StyleLoss : 0.091 ContentLoss : 0
2022-05-03 07:39:38 | INFO | train_tsf_model.py | [Iteration 2300] Model Checkpoint Saved with Loss : 3.483, Acc : 93.6, BLEU : 23.259
2022-05-03 07:40:08 | INFO | train_tsf_model.py | [Iteration 2400] SelfLoss : 1.64 CycleLoss : 2.267 StyleLoss : 0.086 ContentLoss : 0
2022-05-03 07:40:12 | INFO | train_tsf_model.py | [Iteration 2400] Model Checkpoint Saved with Loss : 3.381, Acc : 93.5, BLEU : 24.325
2022-05-03 07:40:42 | INFO | train_tsf_model.py | [Iteration 2500] SelfLoss : 1.518 CycleLoss : 2.232 StyleLoss : 0.054 ContentLoss : 0
2022-05-03 07:40:45 | INFO | train_tsf_model.py | [Iteration 2500] Model Checkpoint Saved with Loss : 3.309, Acc : 93.3, BLEU : 25.67
2022-05-03 07:41:16 | INFO | train_tsf_model.py | [Iteration 2600] SelfLoss : 1.447 CycleLoss : 2.065 StyleLoss : 0.076 ContentLoss : 0
2022-05-03 07:41:19 | INFO | train_tsf_model.py | [Iteration 2600] Model Checkpoint Saved with Loss : 3.191, Acc : 93.6, BLEU : 26.244
2022-05-03 07:41:49 | INFO | train_tsf_model.py | [Iteration 2700] SelfLoss : 1.353 CycleLoss : 2.032 StyleLoss : 0.041 ContentLoss : 0
2022-05-03 07:41:53 | INFO | train_tsf_model.py | [Iteration 2700] Model Checkpoint Saved with Loss : 3.113, Acc : 93.1, BLEU : 27.735
2022-05-03 07:42:23 | INFO | train_tsf_model.py | [Iteration 2800] SelfLoss : 1.264 CycleLoss : 1.976 StyleLoss : 0.077 ContentLoss : 0
2022-05-03 07:42:26 | INFO | train_tsf_model.py | [Iteration 2800] Model Checkpoint Saved with Loss : 3.039, Acc : 92.9, BLEU : 28.936
2022-05-03 07:42:55 | INFO | train_tsf_model.py | [Iteration 2900] SelfLoss : 1.35 CycleLoss : 2.043 StyleLoss : 0.1 ContentLoss : 0
2022-05-03 07:42:58 | INFO | train_tsf_model.py | [Iteration 2900] Model Checkpoint Saved with Loss : 3.193, Acc : 93.2, BLEU : 29.035
2022-05-03 07:43:28 | INFO | train_tsf_model.py | [Iteration 3000] SelfLoss : 1.187 CycleLoss : 1.841 StyleLoss : 0.051 ContentLoss : 0
2022-05-03 07:43:31 | INFO | train_tsf_model.py | [Iteration 3000] Model Checkpoint Saved with Loss : 2.883, Acc : 92.5, BLEU : 30.683
2022-05-03 07:44:01 | INFO | train_tsf_model.py | [Iteration 3100] SelfLoss : 1.136 CycleLoss : 1.777 StyleLoss : 0.057 ContentLoss : 0
2022-05-03 07:44:05 | INFO | train_tsf_model.py | [Iteration 3100] Model Checkpoint Saved with Loss : 2.825, Acc : 91.3, BLEU : 31.582
2022-05-03 07:44:35 | INFO | train_tsf_model.py | [Iteration 3200] SelfLoss : 1.159 CycleLoss : 1.824 StyleLoss : 0.057 ContentLoss : 0
2022-05-03 07:44:39 | INFO | train_tsf_model.py | [Iteration 3200] Model Checkpoint Saved with Loss : 2.739, Acc : 93.6, BLEU : 32.592
2022-05-03 07:45:09 | INFO | train_tsf_model.py | [Iteration 3300] SelfLoss : 1.141 CycleLoss : 1.821 StyleLoss : 0.097 ContentLoss : 0
2022-05-03 07:45:13 | INFO | train_tsf_model.py | [Iteration 3300] Model Checkpoint Saved with Loss : 2.669, Acc : 93.0, BLEU : 32.92
2022-05-03 07:45:43 | INFO | train_tsf_model.py | [Iteration 3400] SelfLoss : 1.187 CycleLoss : 1.874 StyleLoss : 0.047 ContentLoss : 0
2022-05-03 07:45:46 | INFO | train_tsf_model.py | [Iteration 3400] Model Checkpoint Saved with Loss : 2.619, Acc : 92.7, BLEU : 33.978
2022-05-03 07:46:17 | INFO | train_tsf_model.py | [Iteration 3500] SelfLoss : 1.057 CycleLoss : 1.691 StyleLoss : 0.092 ContentLoss : 0
2022-05-03 07:46:20 | INFO | train_tsf_model.py | [Iteration 3500] Model Checkpoint Saved with Loss : 2.562, Acc : 93.2, BLEU : 34.332
2022-05-03 07:46:50 | INFO | train_tsf_model.py | [Iteration 3600] SelfLoss : 0.993 CycleLoss : 1.645 StyleLoss : 0.06 ContentLoss : 0
2022-05-03 07:46:54 | INFO | train_tsf_model.py | [Iteration 3600] Model Checkpoint Saved with Loss : 2.489, Acc : 93.5, BLEU : 35.447
2022-05-03 07:47:24 | INFO | train_tsf_model.py | [Iteration 3700] SelfLoss : 0.983 CycleLoss : 1.64 StyleLoss : 0.129 ContentLoss : 0
2022-05-03 07:47:27 | INFO | train_tsf_model.py | [Iteration 3700] Model Checkpoint Saved with Loss : 2.441, Acc : 92.3, BLEU : 36.272
2022-05-03 07:47:58 | INFO | train_tsf_model.py | [Iteration 3800] SelfLoss : 1.072 CycleLoss : 1.794 StyleLoss : 0.09 ContentLoss : 0
2022-05-03 07:48:02 | INFO | train_tsf_model.py | [Iteration 3800] Model Checkpoint Saved with Loss : 2.388, Acc : 93.3, BLEU : 36.275
2022-05-03 07:48:31 | INFO | train_tsf_model.py | [Iteration 3900] SelfLoss : 1.001 CycleLoss : 1.683 StyleLoss : 0.083 ContentLoss : 0
2022-05-03 07:48:35 | INFO | train_tsf_model.py | [Iteration 3900] Model Checkpoint Saved with Loss : 2.325, Acc : 93.3, BLEU : 37.667
2022-05-03 07:49:04 | INFO | train_tsf_model.py | [Iteration 4000] SelfLoss : 1.004 CycleLoss : 1.681 StyleLoss : 0.068 ContentLoss : 0
2022-05-03 07:49:08 | INFO | train_tsf_model.py | [Iteration 4000] Model Checkpoint Saved with Loss : 2.301, Acc : 93.6, BLEU : 37.832
2022-05-03 07:49:38 | INFO | train_tsf_model.py | [Iteration 4100] SelfLoss : 0.963 CycleLoss : 1.64 StyleLoss : 0.075 ContentLoss : 0
2022-05-03 07:49:41 | INFO | train_tsf_model.py | [Iteration 4100] Model Checkpoint Saved with Loss : 2.236, Acc : 93.4, BLEU : 38.483
2022-05-03 07:50:12 | INFO | train_tsf_model.py | [Iteration 4200] SelfLoss : 0.901 CycleLoss : 1.54 StyleLoss : 0.101 ContentLoss : 0
2022-05-03 07:50:15 | INFO | train_tsf_model.py | [Iteration 4200] Model Checkpoint Saved with Loss : 2.222, Acc : 93.3, BLEU : 39.407
2022-05-03 07:50:45 | INFO | train_tsf_model.py | [Iteration 4300] SelfLoss : 0.938 CycleLoss : 1.605 StyleLoss : 0.056 ContentLoss : 0
2022-05-03 07:50:48 | INFO | train_tsf_model.py | [Iteration 4300] Model Checkpoint Saved with Loss : 2.146, Acc : 93.5, BLEU : 40.177
2022-05-03 07:51:19 | INFO | train_tsf_model.py | [Iteration 4400] SelfLoss : 0.855 CycleLoss : 1.497 StyleLoss : 0.06 ContentLoss : 0
2022-05-03 07:51:22 | INFO | train_tsf_model.py | [Iteration 4400] Model Checkpoint Saved with Loss : 2.124, Acc : 92.6, BLEU : 40.607
2022-05-03 07:51:52 | INFO | train_tsf_model.py | [Iteration 4500] SelfLoss : 0.855 CycleLoss : 1.498 StyleLoss : 0.082 ContentLoss : 0
2022-05-03 07:51:56 | INFO | train_tsf_model.py | [Iteration 4500] Model Checkpoint Saved with Loss : 2.068, Acc : 93.1, BLEU : 41.369
